0,1,2,3,4,5,6,7
,TIME,,"CREWCDRFE-4FE-5CDR,FE-4,FE-5CDR,FE-4,FE-5CDRFE-4,FE-5FE-4,FE-5CDRCDR,FE-4,FE-5CDRFE-4FE-5FE-5FE-4FE-5CDRFE-4FE-4CDRFE-4CDRFE-4CDRFE-4FE-4FE-5CDRCDRCDRCDR",,"ACTIVITYMorning inspectionMorning Inspection.Laptop RS1(2) RebootSM ПСС (Caution & Warning Panel) Test RSS1,2 RebootMorning InspectionPost-sleepDaily Planning Conference (S-band)BreakfastBreakfastWork PrepWork PrepX2R12.1 software reviewSSIPC flight director - ISS crew conferenceБМП F2 absorption cartridge regeneration (start)Work PrepWRS – water samplingBACKUP. Voice channel check on S/G1 with «Baikonur»Exercise AREDHAM radio passOBSTANOVKA. «Obstanovka» P/L data transfer from БСПН to RSS1laptop (start)ИК0501 СО2 filter unit replacement Install 147 (00060463R,СМ1РО_4_449_1, Container filter units ГА (00060383R))Remove Ice Cell 2 from SCOF hwHardware stow in Progress #422 (DC1) for disposal with IMS updateThermo-module 4, Ice Crystal  2: troubleshooting, part 2OBSTANOVKA. «Obstanovka» P/L data transfer from БСПН to RSS1laptop (end)Private Psychological ConferenceSEISMOPROGNOZ. Date downlink from  БСПН via RSS1 (start).  Tagupwith specialistsHardware stow in Progress #422 (DC1) for disposal with IMS updateWHC - Urine Receptacle (UR) and Insert Filter Remove and ReplacePAO setupCrew preparation for PAOPAO eventExercise T2",,
,06:00-06:10,,,,,,
,,,,,,,
,06:00-06:10,,,,,,
,,,,,,,
,06:00-06:10,,,,,,
,,,,,,,
,06:10-07:00,,,,,,
,,,,,,,
,,,,,,,
,07:00-07:15,,,,,,
,,,,,,,
,07:15-07:50,,,,,,
,07:15-07:45,,,,,,
,07:45-07:55,,,,,,
,07:50-07:55,,,,,,
,,,,,,,
,07:55-08:10,,,,,,
,,,,,,,
,08:10-08:30,,,,,,
,08:10-08:25,,,,,,
,08:10-08:20,,,,,,
,08:20-08:30,,,,,,
,08:25-08:35,,,,,,
,08:30-10:00,,,,,,
,08:35-08:55,,,,,,
,,,,,,,
,08:35-08:45,,,,,,
,,,,,,,
,,,,,,,
,08:45-08:55,,,,,,
,,,,,,,
,08:55-09:55,,,,,,
,08:55-10:45,,,,,,
,09:55-10:25,,,,,,
,,,,,,,
,10:45-10:55,,,,,,
,,,,,,,
,10:55-11:10,,,,,,
,,,,,,,
,10:55-11:05,,,,,,
,,,,,,,
,11:05-12:30,,,,,,
,11:10-12:40,,,,,,
,11:25-11:35,,,,,,
,11:35-11:45,,,,,,
,11:45-12:05,,,,,,
,12:10-13:40,,,,,,
TIME,CREW,,ACTIVITY,,,,
06:00-06:10,FE-4,Morning Inspection,,,,,
06:00-06:10,FE-1,Morning Inspection. Laptop RS1(2) Reboot,,,,,
06:00-06:10,FE-2,"Morning Inspection. RSS1,2 Reboot",,,,,
06:10-06:40,"FE-1, FE-2,FE-4,",Post-sleep,,,,,
06:40-07:30,FE-4,BREAKFAST. SM ПСС (Caution & Warning Panel) Test,,,,,
06:40-07:30,"FE-1, FE-2",BREAKFAST,,,,,
08:30-09:30,"FE-1, FE-2,FE-4,",Roles and responsibilities in emergency situations - REVIEW,,,,,
10:00-11:30,FE-1,ARED Exercise,,,,,
10:00-11:30,FE-4,"БД-2 Exercise, Day 1",,,,,
10:40-10:55,FE-2,Private Family Conference (S + Ku-band),,,,,
11:30-12:30,FE-1,"БД-2 Exercise, Day 2",,,,,
12:00-13:00,FE-2,"VELO Exercise, Day 1",,,,,
12:30-12:45,FE-1,Private Family Conference (S + Ku-band),,,,,
13:00-14:00,"FE-1, FE-2,FE-4,",LUNCH,,,,,
14:00-14:40,FE-4,"СОЖ Maintenance. SM and FGB СВО, СГО, АСУ СПКУ Counter, POTOK Air Purification System Data Calldowns",,,,,
14:20-14:35,FE-2,Photography of Batavia lettuce sample,,,,,
15:00-15:30,"FE-1, FE-2,FE-4,",Video greetings,,,,,
17:00-18:30,FE-2,"БД-2 Exercise, Day 1",,,,,
18:30-19:30,FE-4,"VELO Exercise, Day 1",,,,,
19:30-21:30,"FE-1, FE-2,FE-4,",Pre-sleep,,,,,
21:30-06:00,"FE-1, FE-2,FE-4,",Sleep,,,,,
,"FE-1,FE-2",ТК 712 Transfers and IMS Ops,,,,,
,,ТКГ 422 (DC1) Transfers and IMS Ops,,,,,
Task List,FE-4,,,,,,
,,SEINER Ocean Observations,,,,,
,"FE-1,FE-4",ECON-M. Observations And Photography,,,,,
